序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,920036,觅睿科技,53.69,30.0,12.39,99099.0,473520704.5,33.15,53.69,40.0,40.0,41.3,0.85,75.87,36.92,6.43,2921907892.0,701259962.0,0.0,0.0,149.49,149.49
2,300629,新劲刚,28.91,20.01,4.82,696402.0,1977452463.59,10.46,28.91,26.39,26.39,24.09,4.5,32.12,485.6,4.27,7268651188.0,6268672010.0,0.0,0.07,55.43,21.57
3,300936,中英科技,58.54,20.01,9.76,86118.0,484635677.56,19.56,58.54,49.0,49.24,48.78,1.39,18.15,-459.4,4.4,4402208000.0,2778324499.0,0.0,0.0,56.36,50.1
4,688048,长光华芯,188.4,20.0,31.4,190392.0,3317289532.0,17.45,188.4,161.0,163.86,157.0,1.19,10.8,1701.16,11.05,33211141261.0,33211141261.0,0.0,0.0,75.5,50.3
5,688300,联瑞新材,99.96,20.0,16.66,186276.0,1813257393.0,14.35,99.96,88.01,88.01,83.3,1.86,7.71,82.48,14.16,24137260232.0,24137260232.0,0.0,0.0,76.45,60.99
6,688655,迅捷兴,29.4,20.0,4.9,119654.0,327806692.0,19.18,29.4,24.7,24.8,24.5,0.93,8.97,-183.48,5.96,3921666000.0,3921666000.0,0.0,0.0,59.44,71.63
7,300257,开山股份,34.33,19.99,5.72,400910.0,1330547753.72,17.23,34.33,29.4,29.4,28.61,2.14,4.2,84.14,5.16,34111490168.0,32774514566.0,0.0,0.0,137.09,144.34
8,300811,铂科新材,92.0,17.23,13.52,252492.0,2233780185.44,15.8,93.4,81.0,81.56,78.48,2.35,10.63,68.11,9.2,26661626128.0,21861820344.0,0.09,-0.05,31.18,29.01
9,920045,蘅东光,385.0,17.04,56.05,25089.0,900779460.1,14.8,385.7,337.0,337.88,328.95,1.78,12.47,86.83,24.34,26207545980.0,7749100975.0,0.0,0.26,1118.74,24.6
10,688229,博睿数据,120.06,16.4,16.92,75987.0,902922755.0,13.46,123.77,109.89,109.89,103.14,3.67,17.11,-56.64,14.41,5330664000.0,5330664000.0,-0.13,0.05,103.7,91.54
11,300469,信息发展,71.79,16.33,10.08,180045.0,1231830054.62,15.88,72.5,62.7,63.5,61.71,2.88,7.25,-171.24,46.77,17821065175.0,17820615052.0,0.01,-0.03,16.32,16.17
12,688662,富信科技,71.78,15.49,9.63,98428.0,687822859.0,15.61,73.0,63.3,64.46,62.15,1.17,11.15,158.8,8.67,6333867200.0,6333867200.0,0.14,0.24,79.45,40.06
13,301176,逸豪新材,28.97,15.01,3.78,147047.0,413917385.49,17.11,29.73,25.42,25.42,25.19,2.96,26.09,-189.75,3.23,4897861343.0,1632620457.0,0.07,0.21,13.16,15.1
14,688585,上纬新材,136.0,14.97,17.71,91817.0,1178170016.0,16.99,138.9,118.8,118.8,118.29,2.14,2.28,1339.61,40.84,54857195008.0,54857195008.0,0.0,0.73,29.52,6.78
15,688807,优迅股份,259.13,14.17,32.17,43835.0,1091868011.0,16.2,267.77,231.0,231.0,226.96,1.62,29.15,235.24,11.74,20730400000.0,3896189539.0,-0.25,-0.34,401.61,38.35
16,688535,华海诚科,133.99,14.03,16.49,72665.0,928527096.0,12.28,134.55,120.12,121.53,117.5,2.24,13.85,530.47,5.9,12864959139.0,7028518877.0,-0.01,0.13,32.94,19.55
17,688205,德科立,181.0,13.89,22.07,156652.0,2783568462.0,10.07,183.0,167.0,167.0,158.93,1.45,9.9,391.56,12.35,28649644549.0,28649644549.0,-0.02,-0.22,54.6,31.66
18,688498,源杰科技,917.86,13.84,111.56,43550.0,3824191512.0,12.25,921.77,823.0,830.0,806.3,1.24,5.13,413.19,33.82,78887979786.0,77869957396.0,0.2,0.31,58.59,42.97
19,301216,万凯新材,24.7,13.72,2.98,421110.0,1012251873.79,10.31,24.83,22.59,22.59,21.72,3.3,7.68,138.52,2.37,14330659408.0,13543559748.0,-0.36,-0.36,36.46,46.5
20,688158,优刻得-W,51.59,13.68,6.21,1493729.0,7624910204.0,10.58,53.4,48.6,51.89,45.38,3.2,36.84,-306.99,9.75,23540779129.0,20918398914.0,-0.17,-0.15,117.13,83.66
21,688127,蓝特光学,64.93,13.65,7.8,178423.0,1110876884.0,13.95,65.5,57.53,57.97,57.13,1.39,4.4,67.87,12.05,26354937661.0,26354937661.0,0.0,-0.18,98.56,68.69
22,688167,炬光科技,341.5,13.64,40.99,80797.0,2689486210.0,7.82,344.5,321.0,321.0,300.51,1.24,8.99,-736.93,13.79,30687027446.0,30687027446.0,-0.04,-0.08,163.58,95.06
23,301607,富特科技,52.4,13.37,6.18,97817.0,507244162.66,14.08,53.39,46.88,46.89,46.22,2.29,8.75,44.6,7.15,8144028908.0,5860700951.0,0.04,0.11,26.72,30.64
