代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额,时间戳
bj920000,安徽凤凰,17.5,-0.58,-3.208,17.49,17.51,18.08,17.87,18.05,17.32,437475.0,7676639.0,10:51:53
bj920001,纬达光电,19.29,-0.47,-2.379,19.29,19.3,19.76,18.38,19.48,18.31,4815041.0,91098908.0,10:51:53
bj920002,万达轴承,90.48,-1.75,-1.897,90.39,90.48,92.23,91.66,91.66,89.55,429329.0,38867387.0,10:51:53
bj920003,中诚咨询,29.43,-0.81,-2.679,29.47,29.52,30.24,30.01,30.08,29.4,274740.0,8145784.0,10:51:53
bj920005,鼎佳精密,36.81,-1.3,-3.411,36.81,36.9,38.11,37.5,38.08,36.81,327834.0,12267445.0,10:51:53
bj920006,晟楠科技,26.9,-0.46,-1.681,26.85,26.9,27.36,27.36,28.22,26.69,1729196.0,47311157.0,10:51:53
bj920007,酉立智能,65.5,-1.29,-1.931,65.5,65.76,66.79,66.48,67.17,65.13,216783.0,14327269.0,10:51:53
bj920008,成电光信,30.45,-0.84,-2.685,30.42,30.56,31.29,31.29,31.55,30.25,1302965.0,40220306.0,10:51:53
bj920009,丹娜生物,72.69,-1.46,-1.969,72.69,72.8,74.15,73.1,74.29,72.35,88319.0,6438958.0,10:51:53
bj920010,凯添燃气,15.55,1.54,10.992,15.55,15.57,14.01,16.47,16.49,15.03,19519267.0,309967090.0,10:51:53
bj920014,特瑞斯,20.43,2.08,11.335,20.4,20.43,18.35,20.5,21.99,19.6,12940270.0,268600157.0,10:51:53
bj920015,锦华新材,44.26,-2.25,-4.838,44.25,44.26,46.51,45.84,45.88,44.07,1062027.0,47563506.0,10:51:53
bj920016,中草香料,19.41,-0.15,-0.767,19.4,19.43,19.56,19.37,19.73,19.26,451269.0,8815189.0,10:51:53
bj920017,星昊医药,18.11,-0.28,-1.523,18.03,18.11,18.39,18.12,18.18,17.92,931974.0,16794648.0,10:51:53
bj920018,宏远股份,32.96,0.09,0.274,32.96,32.97,32.87,32.6,33.34,31.9,2006771.0,65410899.0,10:51:53
bj920019,铜冠矿建,21.29,-0.23,-1.069,21.31,21.34,21.52,21.09,21.66,20.8,2657094.0,56427667.0,10:51:53
bj920020,泰凯英,16.71,-0.32,-1.879,16.7,16.71,17.03,16.98,16.98,16.61,800962.0,13455588.0,10:51:53
bj920021,流金科技,10.16,-0.65,-6.013,10.17,10.18,10.81,10.5,10.56,10.05,14774302.0,151344976.0,10:51:53
bj920022,世昌股份,28.92,-0.38,-1.297,28.93,28.96,29.3,29.28,29.32,28.9,139059.0,4038152.0,10:51:53
bj920023,田野股份,4.35,-0.05,-1.136,4.34,4.35,4.4,4.34,4.39,4.32,3136423.0,13637808.0,10:51:53
bj920026,卓兆点胶,34.68,-0.82,-2.31,34.63,34.68,35.5,35.28,35.97,34.23,464781.0,16277379.0,10:51:53
bj920027,交大铁发,20.16,-0.44,-2.136,20.16,20.2,20.6,20.4,20.59,20.0,600245.0,12156253.0,10:51:53
bj920029,开发科技,85.67,-1.93,-2.203,85.52,85.66,87.6,86.5,86.5,84.81,397758.0,34024319.0,10:51:53
bj920030,德众汽车,6.35,-0.13,-2.006,6.35,6.37,6.48,6.46,6.48,6.27,1069488.0,6829711.0,10:51:53
bj920033,康普化学,16.65,-0.34,-2.001,16.61,16.65,16.99,16.83,17.01,16.38,770308.0,12838853.0,10:51:53
bj920035,精创电气,36.74,-0.48,-1.29,36.5,36.74,37.22,37.21,37.21,36.49,180580.0,6622953.0,10:51:53
bj920036,N觅睿,42.58,21.06,97.862,42.58,42.6,21.52,48.8,49.66,42.22,6840416.0,306556281.0,10:51:53
bj920037,广信科技,83.8,-1.6,-1.874,83.68,83.8,85.4,83.4,84.18,81.38,1230593.0,102044470.0,10:51:53
bj920039,国义招标,11.02,-0.23,-2.044,11.0,11.02,11.25,11.1,11.18,10.96,779290.0,8599878.0,10:51:53
bj920045,蘅东光,320.3,-31.5,-8.954,320.31,320.96,351.8,335.2,337.99,316.8,950384.0,307970320.0,10:51:53
bj920046,亿能电力,38.1,4.41,13.09,38.1,38.15,33.69,31.8,38.1,31.68,11238556.0,387392743.0,10:51:53
bj920047,诺思兰德,23.04,-0.29,-1.243,23.04,23.05,23.33,23.33,23.96,22.92,2005415.0,46979480.0,10:51:53
bj920050,爱舍伦,35.12,-0.53,-1.487,35.14,35.22,35.65,35.59,35.6,35.1,217142.0,7653468.0,10:51:53
bj920056,能之光,24.92,-0.43,-1.696,24.92,25.0,25.35,25.25,25.4,24.54,623651.0,15539389.0,10:51:53
bj920057,百甲科技,6.97,-0.06,-0.853,6.97,6.98,7.03,7.0,7.07,6.88,997290.0,6943710.0,10:51:53
bj920058,华洋赛车,29.79,-0.63,-2.071,29.67,29.78,30.42,30.42,30.57,29.56,231298.0,6959705.0,10:51:53
bj920060,万源通,32.09,-1.32,-3.951,32.09,32.1,33.41,32.69,32.77,31.9,2002523.0,64546171.0,10:51:53
bj920061,西磁科技,27.56,-0.74,-2.615,27.58,27.72,28.3,28.3,28.52,27.36,550422.0,15365639.0,10:51:53
